code_color;id;copic_code;name;family
"#7c4e89";78902296590;"V09";"Violet";"V"
"#ead2dd";78902329358;"V12";"Pale Lilac";"V"
"#c9a0bc";78902362126;"V15";"Mallow";"V"
"#998bb2";88826773518;"V17";"Amethyst";"V"
"#dcdbe9";88826839054;"V20";"Wisteria";"V"
"#b2afce";88826904590;"V22";"Ash Lavender";"V"
"#847eac";88826937358;"V25";"Pale Blackberry";"V"
"#6a658c";88826970126;"V28";"Eggplant";"V"
"#e2c0c7";88827101198;"V91";"Pale Grape";"V"
"#debcce";88827166734;"V93";"Early Grape";"V"
"#ac7494";88827265038;"V95";"Light Grape";"V"
"#463c49";88827363342;"V99";"Aubergine";"V"
"#f4f1e9";88827428878;"W0";"Warm Gray";"W"
"#f4f1ea";88827527182;"W00";"Warm Gray";"W"
"#e6e4dc";88827592718;"W1";"Warm Gray";"W"
"#252725";88827625486;"W10";"Warm Gray";"W"
"#e5e4de";88827691022;"W2";"Warm Gray";"W"
"#ccccc4";88827756558;"W3";"Warm Gray";"W"
"#b5b5ad";88827789326;"W4";"Warm Gray";"W"
"#9f9f98";88827854862;"W5";"Warm Gray";"W"
"#8a8a83";88827920398;"W6";"Warm Gray";"W"
"#6c6d68";88827985934;"W7";"Warm Gray";"W"
"#595955";88828084238;"W8";"Warm Gray";"W"
"#41423e";88828182542;"W9";"Warm Gray";"W"
"#fffbdf";88828248078;"Y00";"Barium Yellow";"Y"
"#fffce8";88828280846;"Y000";"Pale Lemon";"Y"
"#fffdf3";88828346382;"Y0000";"Yellow Fluorite";"Y"
"#f7f0a2";88828411918;"Y02";"Canary Yellow";"Y"
"#eae072";88828444686;"Y04";"Acacia";"Y"
"#fff185";91518205966;"Y06";"Yellow";"Y"
"#ffef55";91518238734;"Y08";"Acid Yellow";"Y"
"#fffacf";88828575758;"Y11";"Pale Yellow";"Y"
"#fcf4b3";88828608526;"Y13";"Lemon Yellow";"Y"
"#ffe483";88828641294;"Y15";"Cadmium Yellow";"Y"
"#ffdf73";88828706830;"Y17";"Golden Yellow";"Y"
"#ffea76";88828772366;"Y18";"Lightning Yellow";"Y"
"#ffe469";88828837902;"Y19";"Napoli Yellow";"Y"
"#feebc2";88828870670;"Y21";"Buttercup Yellow";"Y"
"#fae0b7";88828903438;"Y23";"Yellowish Beige";"Y"
"#edd77c";88828936206;"Y26";"Mustard";"Y"
"#bea06f";88828968974;"Y28";"Lionet Gold";"Y"
"#f5d9be";88829034510;"Y32";"Cashmere";"Y"
"#fbd286";88829067278;"Y35";"Maize";"Y"
"#facc81";88829100046;"Y38";"Honey";"Y"
"#e3e2a3";88829165582;"YG00";"Mimosa Yellow";"YG"
"#f3f5dc";88829198350;"YG0000";"Lily White";"YG"
"#e6edc1";88829231118;"YG01";"Green Bice";"YG"
"#dde6ad";88829263886;"YG03";"Yellow Green";"YG"
"#d3e099";88829329422;"YG05";"Salad";"YG"
"#c0d895";88829362190;"YG06";"Yellowish Green";"YG"
"#9dc764";88829460494;"YG07";"Acid Green";"YG"
"#76bc70";88829493262;"YG09";"Lettuce Green";"YG"
"#e2edcc";88829558798;"YG11";"Mignonette";"YG"
"#d0e0a2";88829591566;"YG13";"Chartreuse";"YG"
"#69b665";88829624334;"YG17";"Grass Green";"YG"
"#f8f4c0";88829657102;"YG21";"Anise";"YG"
"#e4e79a";88829689870;"YG23";"New Leaf";"YG"
"#cada87";88829722638;"YG25";"Celadon Green";"YG"
"#d4e8cf";88829755406;"YG41";"Pale Cobalt Green";"YG"
"#b0d6b2";88829820942;"YG45";"Cobalt Green";"YG"
"#d4e6d4";88829853710;"YG61";"Pale Moss";"YG"
"#9cc59f";88829886478;"YG63";"Pea Green";"YG"
"#7ab689";88829919246;"YG67";"Moss";"YG"
"#d6d1ac";88829952014;"YG91";"Putty";"YG"
"#cccd9e";88829984782;"YG93";"Grayish Yellow";"YG"
